
  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     959.6    44046.4    1949.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445    1027.8    47887.9    2120.015
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423    1130.9    51576.7    2283.319
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     985.7    43204.6    1912.684

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751   10.8   747111.8 134042026.1  33453077.1 26865.528

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     309.2    13118.7     497.796
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     422.9    18408.2     698.511
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     530.6    23488.8     891.296
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     632.7    28589.0    1084.826
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     705.0    32360.7    1227.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445     755.1    35183.0    1335.039
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423     830.9    37893.2    1437.880
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     724.2    31742.2    1204.478

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751    9.2   548892.6  98478710.9  24577858.5 16918.121

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     309.2    13118.7     497.796
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     422.9    18408.2     698.511
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     530.6    23488.8     891.296
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     632.7    28589.0    1084.826
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     705.0    32360.7    1227.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445     755.1    35183.0    1335.039
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423     830.9    37893.2    1437.880
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     724.2    31742.2    1204.478

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751    9.2   548892.6  98478710.9  24577858.5 16918.121

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     309.2    13118.7     497.796
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     422.9    18408.2     698.511
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     530.6    23488.8     891.296
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     632.7    28589.0    1084.826
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     705.0    32360.7    1227.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445     755.1    35183.0    1335.039
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423     830.9    37893.2    1437.880
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     724.2    31742.2    1204.478

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751    9.2   548892.6  98478710.9  24577858.5 16918.121

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     309.2    13118.7     497.796
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     422.9    18408.2     698.511
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     530.6    23488.8     891.296
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     632.7    28589.0    1084.826
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     705.0    32360.7    1227.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445     755.1    35183.0    1335.039
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423     830.9    37893.2    1437.880
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     724.2    31742.2    1204.478

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751    9.2   548892.6  98478710.9  24577858.5 16918.121

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       7.9     -158.9      -5.464
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      86.4     3039.1     134.541
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     420.8    17855.7     790.480
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     575.6    25055.6    1109.218
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     722.3    31970.7    1415.353
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     861.2    38912.5    1722.669
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     959.6    44046.4    1949.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445    1027.8    47887.9    2120.015
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423    1130.9    51576.7    2283.319
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     985.7    43204.6    1912.684

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751   10.8   747111.8 134042026.1  33453077.1 26865.528

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
   3      180.000    1.000    0.224    0.032    1.500    0.023  17.62   4.33 0.699 0.054 0.497     309.2    13118.7     497.796
   4      180.000    1.000    0.218    0.016    1.450    0.017  13.07   5.22 0.683 0.054 0.499     422.9    18408.2     698.511
   5      180.000    1.000    0.211    0.010    1.400    0.012  10.39   5.35 0.666 0.053 0.495     530.6    23488.8     891.296
   6      180.000    1.000    0.205    0.006    1.350    0.008   8.62   5.46 0.650 0.053 0.493     632.7    28589.0    1084.826
   7      180.000    1.000    0.191    0.004    1.300    0.007   7.45   5.19 0.613 0.051 0.472     705.0    32360.7    1227.948
   8      180.000    1.000    0.179    0.003    1.250    0.006   6.57   4.87 0.569 0.048 0.445     755.1    35183.0    1335.039
   9      180.000    1.000    0.192    0.002    1.200    0.006   5.72   4.62 0.552 0.046 0.423     830.9    37893.2    1437.880
  10      180.000    1.000    0.217    0.002    1.150    0.006   4.96   4.36 0.431 0.034 0.317     724.2    31742.2    1204.478

  pitch  x     tc      qc      pc   eta   vo,m/s    td,lbs   md,ft-lbs     qd,ft-lbs   pd,kw
  1.69 9.25   0.563   0.046  0.423 0.751    9.2   548892.6  98478710.9  24577858.5 16918.121

  blade element data for delta beta=  1.69  x=  9.25
  element   theta     vel        a       ap       cl       cd      phi    ang    tc    qc    pc  td,lbs/ft  qd,ft-lbs/ft  pd,kw
   1      180.000    1.000    0.000    0.000    0.000    0.300  59.91   0.00 0.054-0.002-0.018       5.8     -116.7      -3.441
   2      180.000    1.000    0.057    0.027    0.909    0.165  32.87   7.57 0.239 0.015 0.141      63.5     2232.8      84.726
